[ 2016-08-23T00:01:32+08:00 ]NOTICE: Undefined variable: userDataD:\wamp\www\lg\App\Home\Controller\CompanyController.php (25).
[ 2016-08-23T00:01:32+08:00 ]NOTICE: Undefined variable: oldDataD:\wamp\www\lg\App\Home\Controller\CompanyController.php (26).
[ 2016-08-23T00:02:30+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T00:03:41+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T00:03:43+08:00 ]NOTICE: Undefined variable: userDataD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (159).
[ 2016-08-23T00:04:04+08:00 ]NOTICE: Undefined variable: userDataD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (159).
[ 2016-08-23T00:04:09+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T00:04:11+08:00 ]NOTICE: Undefined variable: userDataD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (159).
[ 2016-08-23T00:04:13+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T00:04:15+08:00 ]NOTICE: Undefined variable: userDataD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (159).
[ 2016-08-23T00:05:31+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T00:16:32+08:00 ]NOTICE: Undefined variable: jobD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (296).
[ 2016-08-23T00:16:32+08:00 ]NOTICE: Undefined variable: jobD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (296).
[ 2016-08-23T00:16:32+08:00 ]NOTICE: Undefined variable: jobD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (296).
[ 2016-08-23T00:16:32+08:00 ]NOTICE: Undefined variable: jobD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (296).
[ 2016-08-23T00:16:32+08:00 ]NOTICE: Undefined variable: jobD:\wamp\www\lg\Storage\view\compile\70deb876a13b987f46d5f94b06944c3a.php (296).
[ 2016-08-23T08:20:42+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T08:20:46+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T08:20:50+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (272).
[ 2016-08-23T08:23:40+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:24:57+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:25:08+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:25:28+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:25:36+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
[ 2016-08-23T08:25:37+08:00 ]NOTICE: Undefined index: countD:\wamp\www\lg\Storage\view\compile\286dfefc3a47450b91a200a6bcb80451.php (277).
